site_name,os_type_1,os_type_2,os_type_2_1,pf_type,pf_registration,
clickhole.com,satire,,,,,
cnnews3.com,fake,,,Imposter site,Scottsdale, Ariz. **
cnnnext.com,unreliable,,,,,
cnsnews.com,unreliable,bias,,,,
coasttocoastam.com,unreliable,,,,,
coed.com,fake,unreliable,,Some fake stories,New York, N.Y.
collective-evolution.com,junksci,,,,,
collectivelyconscious.net,junksci,conspiracy,,,,
commentarymagazine.com,political,,,,,
commondreams.org,political,clickbait,,,,
concisepolitics.com,conspiracy,hate,,,,
consciouslifenews.com,junksci,,,,,
conservapedia.com,bias,,,,,
conservativebyte.com,fake,bias,,,,
conservativedailypost.com,fake,unreliable,,Fake news,Panama, Pa. *
conservativefighters.com,fake,,,,,
conservativefiringline.com,bias,conspiracy,clickbait,,,
conservativeflashnews.com,fake,,,Fake news,Panama, Pa.*
conservativehq.com,bias,,,,,
conservativeinfidel.com,fake,conspiracy,,,,
conservativeinfocorner.com,,,,Fake news,Came up as available for use,
conservativeoutfitters.com,unreliable,clickbait,,,,
conservativepapers.com,bias,,,,,
conservativerefocus.com,conspiracy,,,,,
conservativereview.com,political,,,,,
conservativespirit.com,bias,fake,,Fake news,Chesterbrook, Pa.^
conservativestate.com,bias,,,,,
conservativetribune.com,bias,conspiracy,unreliable,,,
consortiumnews.com,reliable,,,,,
conspiracyplanet.com,conspiracy,,,,,
conspiracywire.com,conspiracy,,,,,
corbettreport.com,conspiracy,,,,,
countdowntozerotime.com,conspiracy,,,,,
countercurrentnews.com,bias,,,,,
countercurrents.org,political,unreliable,,,,
counterinformation.wordpress.com,political,,,,,
counterjihad.com,bias,,,,,
counterpsyops.com,conspiracy,,,,,
counterpunch.com,political,,,,,
counterpunch.org,political,,,,,
cowgernation.com,bias,conspiracy,,,,
creambmp.com,satire,fake,,,,
creativitymovement.net/category/news/,hate,,,,,
cryptogon.com,conspiracy,unreliable,,,,
crystalair.com,satire,,,,,
dailybuzzlive.com,fake,,,,,
dailycaller.com,political,clickbait,bias,,,
dailycurrant.com,satire,,,,,
