site_name,os_type_1,os_type_2,os_type_2,pf_type,pf_registration
christiantimesnewspaper.com,rumor,bias,fake,,
christiantoday.info,,,,Fake news,"Scottsdale, Ariz. **"
christwire.org,satire,,,,
chronicle.su,satire, ,,,
chroniclesmagazine.org,political,,,,
citizensunited.org,bias,,,,
city-journal.org,political,,,,
cityworldnews.com,fake,,,,
civictribune.com,,,,Fake news,"Scottsdale, Ariz. **"
civictribune.com,,,,Imposter site,"Scottsdale, Ariz. **"
civictribune.com,fake,,,,
clashdaily.com,,,,Fake news,"Scottsdale, Ariz. **"
clashdaily.com,fake,conspiracy,bias,,
clickhole.com,satire,,,,
cnnews3.com,,,,Imposter site,"Scottsdale, Ariz. **"
cnnews3.com,fake,,,,
cnnnext.com,unreliable,,,,
cnsnews.com,unreliable,bias,,,
coasttocoastam.com,unreliable,,,,
coed.com,,,,Some fake stories,"New York, N.Y."
coed.com,fake,unreliable,,,
collective-evolution.com,junksci,,,,
collectivelyconscious.net,junksci,conspiracy,,,
commentarymagazine.com,political,,,,
commondreams.org,political,clickbait,,,
concisepolitics.com,conspiracy,hate,,,
consciouslifenews.com,junksci, ,,,
conservapedia.com,bias, , ,,
conservativebyte.com,fake,bias,,,
conservativedailypost.com,,,,Fake news,"Panama, Pa. *"
conservativedailypost.com,fake,unreliable,,,
conservativefighters.com,fake,,,,
conservativefiringline.com,bias,conspiracy,clickbait,,
conservativeflashnews.com,,,,Fake news,"Panama, Pa.*"
conservativeflashnews.com,fake,,,,
conservativehq.com,bias,,,,
conservativeinfidel.com,fake,conspiracy,,,
conservativeinfocorner.com,,,,Fake news,Came up as available for use
conservativeoutfitters.com,unreliable,clickbait,,,
conservativepapers.com,bias,,,,
conservativerefocus.com,conspiracy,,,,
conservativereview.com,political,,,,
conservativespirit.com,,,,Fake news,"Chesterbrook, Pa.^"
conservativespirit.com,bias,fake,,,
conservativestate.com,bias,,,,
conservativetribune.com,bias,conspiracy,unreliable,,
consortiumnews.com,reliable,,,,
conspiracyplanet.com,conspiracy,,,,
conspiracywire.com,conspiracy,,,,
corbettreport.com,conspiracy,bias,,,
corbettreport.com,conspiracy,,,,
countdowntozerotime.com,conspiracy, ,,,
countercurrentnews.com,bias,,,,
countercurrents.org,political,unreliable,,,
counterinformation.wordpress.com,political,,,,
counterjihad.com,bias,,,,
counterpsyops.com,conspiracy,,,,
counterpunch.com,political,,,,
counterpunch.org,political,,,,
cowgernation.com,bias,conspiracy,,,
creambmp.com,satire,fake,,,
creativitymovement.net/category/news/,hate,,,,
cryptogon.com,conspiracy,unreliable,,,
crystalair.com,satire,,,,
dailybuzzlive.com,fake,,,,
dailycaller.com,political,clickbait,bias,,
dailycurrant.com,satire,,,,
dailydiscord.com,satire,,,,
dailyheadlines.com,fake, ,,,
dailyheadlines.net,fake, ,,,
dailyinfobox.com,,,,Fake news,"Panama, Pa.*"
dailyinfobox.com,fake,,,,
dailyken.com,hate,,,,
dailykos.com,political,clickbait, ,,
dailyleak.org,satire,fake,,,
dailynews10.com,,,,Imposter site,"Scottsdale, Ariz. **"
dailynews10.com,fake,,,,
dailynews5.com,,,,Imposter site,"Scottsdale, Ariz. **"
dailynews5.com,fake,,,,
dailynewsbin.com,bias,clickbait,,,
dailynewsposts.info,,,,Fake news,"Chesterbrook, Pa ^"
dailynewsposts.info,fake,,,,
dailyoccupation.com,conspiracy,bias,,,
dailypoliticsusa.com,bias,,,,
dailysignal.com,bias,,,,
dailysnark.com,,,,Parody site,"Scottsdale, Ariz. **"
dailysnark.com,satire,,,,
dailysquib.co.uk,satire,,,,
dailystormer.com,hate,conspiracy,bias,,
dailysurge.com,,,,Fake news,"Alexandria, Va."
dailysurge.com,fake,,,,
dailytelegraph.com.au,bias,rumor,,,
dailyusaupdate.com,,,,Fake news,"Scottsdale, Ariz. **"
dailyusaupdate.com,fake,,,,
dailywire.com,bias,,,,
damnleaks.com,,,,Fake news,"Colorado Springs, Colo. "
damnleaks.com,fake,,,,
dandygoat.com,satire,,,,
darkmoon.me,hate,bias,,,
darkpolitricks.com,bias,conspiracy,,,
dataasylum.com,conspiracy,junksci,,,
davejanda.com,unreliable,,,,
davidduke.com,hate,,,,
davidstockmanscontracorner.com,political,,,,
davidwolfe.com,conspiracy,,,,
dcclothesline.com,conspiracy,junksci,,,
dcgazette.com,fake,,,,
dcleaks.com,unreliable,,,,
ddemocraticunderground.com,fake,,,,
deadlinelive.info,political,conspiracy,,,
deadlyclear.wordpress.com,bias,fake news,,,
debunkingskeptics.com,bias,conspiracy,,,
defenddemocracy.press,bias,political,,,
democraticmoms.com,,,,Fake news,"Panama, Pa. *"
dennismichaellynch.com,political,,,,
denverguardian.com,fake,,,,
denverinquirer.com,,,,Imposter site,"Toronto, Canada !!!"
departed.co,fake,,,,
departedmedia.com,,,,Fake news,"Chesterbrook, Pa.^"
departedmedia.com,fake,,,,
derfmagazine.com,satire,,,,
der-postillon.com,satire,,,,
dineal.com,junksci,,,,
disclose.tv,,,,Fake news,"Passau, Germany"
disclose.tv,satire,conspiracy,,,
disclosuremedia.net,conspiracy,,,,
dissentmagazine.org,political,,,,
diversitychronicle.wordpress.com,satire,,,,
diyhours.net,,,,Fake news,"Panama, Pa.*"
diyhours.net,fake,,,,
dollarvigilante.com,bias,,,,
donaldtrumpnews.co,fake,,,,
donaldtrumppotus45.com,,,,Fake news,"Free Union, Va."
donaldtrumppotus45.com,fake,,,,
dont-tread-on.me,conspiracy,,,,
downtrend.com,fake,satire,,,
drrichswier.com,hate,bias,,,
drudgereport.com,political,bias,,,
drudgereport.com.co,fake,,,,
duffleblog.com,satire,,,,
